transaction_id,customer_segment,historical_success_rate,average_transaction_amount,amount,payment_method,transaction_hour,failure_reason,retry_count,strategy_id,action,delay_hours,amount_to_average_ratio,is_high_value_transaction,is_late_night,customer_success_category,recovered
TXN_0000001,MEDIUM_RELIABILITY,0.73,9531.79,6184.29,CARD,17,TEMPORARY_BANK_ERROR,0,RETRY_30_MIN,RETRY,0.5,0.6488067823567241,0,0,MEDIUM,1
TXN_0000001,MEDIUM_RELIABILITY,0.73,9531.79,6184.29,CARD,17,TEMPORARY_BANK_ERROR,0,RETRY_6_HOURS,RETRY,6.0,0.6488067823567241,0,0,MEDIUM,1
TXN_0000001,MEDIUM_RELIABILITY,0.73,9531.79,6184.29,CARD,17,TEMPORARY_BANK_ERROR,0,PAYMENT_LINK,PAYMENT_LINK,1.0,0.6488067823567241,0,0,MEDIUM,1
TXN_0000001,MEDIUM_RELIABILITY,0.73,9531.79,6184.29,CARD,17,TEMPORARY_BANK_ERROR,0,WAIT,WAIT,12.0,0.6488067823567241,0,0,MEDIUM,1
TXN_0000003,MEDIUM_RELIABILITY,0.73,9531.79,8668.29,UPI,12,INSUFFICIENT_FUNDS,0,RETRY_30_MIN,RETRY,0.5,0.9094084112218167,0,0,MEDIUM,0
TXN_0000003,MEDIUM_RELIABILITY,0.73,9531.79,8668.29,UPI,12,INSUFFICIENT_FUNDS,0,RETRY_6_HOURS,RETRY,6.0,0.9094084112218167,0,0,MEDIUM,1
TXN_0000003,MEDIUM_RELIABILITY,0.73,9531.79,8668.29,UPI,12,INSUFFICIENT_FUNDS,0,PAYMENT_LINK,PAYMENT_LINK,1.0,0.9094084112218167,0,0,MEDIUM,0
TXN_0000003,MEDIUM_RELIABILITY,0.73,9531.79,8668.29,UPI,12,INSUFFICIENT_FUNDS,0,WAIT,WAIT,12.0,0.9094084112218167,0,0,MEDIUM,1
TXN_0000006,MEDIUM_RELIABILITY,0.73,9531.79,6469.5,CARD,19,TECHNICAL_ERROR,0,RETRY_30_MIN,RETRY,0.5,0.678728759236198,0,0,MEDIUM,1
TXN_0000006,MEDIUM_RELIABILITY,0.73,9531.79,6469.5,CARD,19,TECHNICAL_ERROR,0,RETRY_6_HOURS,RETRY,6.0,0.678728759236198,0,0,MEDIUM,1
TXN_0000006,MEDIUM_RELIABILITY,0.73,9531.79,6469.5,CARD,19,TECHNICAL_ERROR,0,PAYMENT_LINK,PAYMENT_LINK,1.0,0.678728759236198,0,0,MEDIUM,1
TXN_0000006,MEDIUM_RELIABILITY,0.73,9531.79,6469.5,CARD,19,TECHNICAL_ERROR,0,WAIT,WAIT,12.0,0.678728759236198,0,0,MEDIUM,1
TXN_0000008,MEDIUM_RELIABILITY,0.73,9531.79,8498.07,UPI,4,INSUFFICIENT_FUNDS,0,RETRY_30_MIN,RETRY,0.5,0.8915502754466893,0,1,MEDIUM,1
TXN_0000008,MEDIUM_RELIABILITY,0.73,9531.79,8498.07,UPI,4,INSUFFICIENT_FUNDS,0,RETRY_6_HOURS,RETRY,6.0,0.8915502754466893,0,1,MEDIUM,1
TXN_0000008,MEDIUM_RELIABILITY,0.73,9531.79,8498.07,UPI,4,INSUFFICIENT_FUNDS,0,PAYMENT_LINK,PAYMENT_LINK,1.0,0.8915502754466893,0,1,MEDIUM,0
TXN_0000008,MEDIUM_RELIABILITY,0.73,9531.79,8498.07,UPI,4,INSUFFICIENT_FUNDS,0,WAIT,WAIT,12.0,0.8915502754466893,0,1,MEDIUM,1
TXN_0000011,MEDIUM_RELIABILITY,0.73,9531.79,288.85,CARD,16,TECHNICAL_ERROR,0,RETRY_30_MIN,RETRY,0.5,0.030303856883124786,0,0,MEDIUM,1
TXN_0000011,MEDIUM_RELIABILITY,0.73,9531.79,288.85,CARD,16,TECHNICAL_ERROR,0,RETRY_6_HOURS,RETRY,6.0,0.030303856883124786,0,0,MEDIUM,1
TXN_0000011,MEDIUM_RELIABILITY,0.73,9531.79,288.85,CARD,16,TECHNICAL_ERROR,0,PAYMENT_LINK,PAYMENT_LINK,1.0,0.030303856883124786,0,0,MEDIUM,0
TXN_0000011,MEDIUM_RELIABILITY,0.73,9531.79,288.85,CARD,16,TECHNICAL_ERROR,0,WAIT,WAIT,12.0,0.030303856883124786,0,0,MEDIUM,1
TXN_0000028,MEDIUM_RELIABILITY,0.81,6187.26,4181.96,CARD,16,NETWORK_TIMEOUT,1,RETRY_30_MIN,RETRY,0.5,0.6758985399029619,0,0,HIGH,1
TXN_0000028,MEDIUM_RELIABILITY,0.81,6187.26,4181.96,CARD,16,NETWORK_TIMEOUT,1,RETRY_6_HOURS,RETRY,6.0,0.6758985399029619,0,0,HIGH,0
TXN_0000028,MEDIUM_RELIABILITY,0.81,6187.26,4181.96,CARD,16,NETWORK_TIMEOUT,1,PAYMENT_LINK,PAYMENT_LINK,1.0,0.6758985399029619,0,0,HIGH,1
TXN_0000028,MEDIUM_RELIABILITY,0.81,6187.26,4181.96,CARD,16,NETWORK_TIMEOUT,1,WAIT,WAIT,12.0,0.6758985399029619,0,0,HIGH,1
TXN_0000044,HIGH_RELIABILITY,0.89,13126.47,7824.79,CARD,8,INSUFFICIENT_FUNDS,0,RETRY_30_MIN,RETRY,0.5,0.596107712126718,0,0,HIGH,0
TXN_0000044,HIGH_RELIABILITY,0.89,13126.47,7824.79,CARD,8,INSUFFICIENT_FUNDS,0,RETRY_6_HOURS,RETRY,6.0,0.596107712126718,0,0,HIGH,1
TXN_0000044,HIGH_RELIABILITY,0.89,13126.47,7824.79,CARD,8,INSUFFICIENT_FUNDS,0,PAYMENT_LINK,PAYMENT_LINK,1.0,0.596107712126718,0,0,HIGH,1
TXN_0000044,HIGH_RELIABILITY,0.89,13126.47,7824.79,CARD,8,INSUFFICIENT_FUNDS,0,WAIT,WAIT,12.0,0.596107712126718,0,0,HIGH,1
TXN_0000046,HIGH_RELIABILITY,0.89,13126.47,23929.53,UPI,7,NETWORK_TIMEOUT,1,RETRY_30_MIN,RETRY,0.5,1.822998109925974,0,0,HIGH,0
TXN_0000046,HIGH_RELIABILITY,0.89,13126.47,23929.53,UPI,7,NETWORK_TIMEOUT,1,RETRY_6_HOURS,RETRY,6.0,1.822998109925974,0,0,HIGH,1
TXN_0000046,HIGH_RELIABILITY,0.89,13126.47,23929.53,UPI,7,NETWORK_TIMEOUT,1,PAYMENT_LINK,PAYMENT_LINK,1.0,1.822998109925974,0,0,HIGH,0
TXN_0000046,HIGH_RELIABILITY,0.89,13126.47,23929.53,UPI,7,NETWORK_TIMEOUT,1,WAIT,WAIT,12.0,1.822998109925974,0,0,HIGH,0
TXN_0000047,HIGH_RELIABILITY,0.89,13126.47,13235.65,UPI,4,INSUFFICIENT_FUNDS,2,RETRY_30_MIN,RETRY,0.5,1.0083175446254782,0,1,HIGH,0
TXN_0000047,HIGH_RELIABILITY,0.89,13126.47,13235.65,UPI,4,INSUFFICIENT_FUNDS,2,RETRY_6_HOURS,RETRY,6.0,1.0083175446254782,0,1,HIGH,0
TXN_0000047,HIGH_RELIABILITY,0.89,13126.47,13235.65,UPI,4,INSUFFICIENT_FUNDS,2,PAYMENT_LINK,PAYMENT_LINK,1.0,1.0083175446254782,0,1,HIGH,1
TXN_0000047,HIGH_RELIABILITY,0.89,13126.47,13235.65,UPI,4,INSUFFICIENT_FUNDS,2,WAIT,WAIT,12.0,1.0083175446254782,0,1,HIGH,1
TXN_0000052,LOW_RELIABILITY,0.52,5014.89,3411.75,WALLET,5,USER_ABANDONMENT,2,RETRY_30_MIN,RETRY,0.5,0.6803239951424657,0,1,LOW,0
TXN_0000052,LOW_RELIABILITY,0.52,5014.89,3411.75,WALLET,5,USER_ABANDONMENT,2,RETRY_6_HOURS,RETRY,6.0,0.6803239951424657,0,1,LOW,0
TXN_0000052,LOW_RELIABILITY,0.52,5014.89,3411.75,WALLET,5,USER_ABANDONMENT,2,PAYMENT_LINK,PAYMENT_LINK,1.0,0.6803239951424657,0,1,LOW,0
TXN_0000052,LOW_RELIABILITY,0.52,5014.89,3411.75,WALLET,5,USER_ABANDONMENT,2,WAIT,WAIT,12.0,0.6803239951424657,0,1,LOW,0
TXN_0000055,LOW_RELIABILITY,0.52,5014.89,5260.96,WALLET,1,INSUFFICIENT_FUNDS,0,RETRY_30_MIN,RETRY,0.5,1.049067875865672,0,1,LOW,0
TXN_0000055,LOW_RELIABILITY,0.52,5014.89,5260.96,WALLET,1,INSUFFICIENT_FUNDS,0,RETRY_6_HOURS,RETRY,6.0,1.049067875865672,0,1,LOW,1
TXN_0000055,LOW_RELIABILITY,0.52,5014.89,5260.96,WALLET,1,INSUFFICIENT_FUNDS,0,PAYMENT_LINK,PAYMENT_LINK,1.0,1.049067875865672,0,1,LOW,1
TXN_0000055,LOW_RELIABILITY,0.52,5014.89,5260.96,WALLET,1,INSUFFICIENT_FUNDS,0,WAIT,WAIT,12.0,1.049067875865672,0,1,LOW,1
TXN_0000056,LOW_RELIABILITY,0.52,5014.89,8273.92,WALLET,9,INSUFFICIENT_FUNDS,0,RETRY_30_MIN,RETRY,0.5,1.6498706850997729,0,0,LOW,1
TXN_0000056,LOW_RELIABILITY,0.52,5014.89,8273.92,WALLET,9,INSUFFICIENT_FUNDS,0,RETRY_6_HOURS,RETRY,6.0,1.6498706850997729,0,0,LOW,1
TXN_0000056,LOW_RELIABILITY,0.52,5014.89,8273.92,WALLET,9,INSUFFICIENT_FUNDS,0,PAYMENT_LINK,PAYMENT_LINK,1.0,1.6498706850997729,0,0,LOW,1
TXN_0000056,LOW_RELIABILITY,0.52,5014.89,8273.92,WALLET,9,INSUFFICIENT_FUNDS,0,WAIT,WAIT,12.0,1.6498706850997729,0,0,LOW,1
TXN_0000059,LOW_RELIABILITY,0.52,5014.89,4429.53,UPI,23,NETWORK_TIMEOUT,0,RETRY_30_MIN,RETRY,0.5,0.8832756052475726,0,0,LOW,1
TXN_0000059,LOW_RELIABILITY,0.52,5014.89,4429.53,UPI,23,NETWORK_TIMEOUT,0,RETRY_6_HOURS,RETRY,6.0,0.8832756052475726,0,0,LOW,1
TXN_0000059,LOW_RELIABILITY,0.52,5014.89,4429.53,UPI,23,NETWORK_TIMEOUT,0,PAYMENT_LINK,PAYMENT_LINK,1.0,0.8832756052475726,0,0,LOW,1
TXN_0000059,LOW_RELIABILITY,0.52,5014.89,4429.53,UPI,23,NETWORK_TIMEOUT,0,WAIT,WAIT,12.0,0.8832756052475726,0,0,LOW,1
TXN_0000063,LOW_RELIABILITY,0.52,5014.89,4652.86,CARD,2,TEMPORARY_BANK_ERROR,3,RETRY_30_MIN,RETRY,0.5,0.927808984843137,0,1,LOW,1
TXN_0000063,LOW_RELIABILITY,0.52,5014.89,4652.86,CARD,2,TEMPORARY_BANK_ERROR,3,RETRY_6_HOURS,RETRY,6.0,0.927808984843137,0,1,LOW,0
TXN_0000063,LOW_RELIABILITY,0.52,5014.89,4652.86,CARD,2,TEMPORARY_BANK_ERROR,3,PAYMENT_LINK,PAYMENT_LINK,1.0,0.927808984843137,0,1,LOW,0
TXN_0000063,LOW_RELIABILITY,0.52,5014.89,4652.86,CARD,2,TEMPORARY_BANK_ERROR,3,WAIT,WAIT,12.0,0.927808984843137,0,1,LOW,0
TXN_0000064,LOW_RELIABILITY,0.52,5014.89,11420.12,CARD,7,NETWORK_TIMEOUT,0,RETRY_30_MIN,RETRY,0.5,2.277242372215542,1,0,LOW,1
